Date,Time,DST,disturbance_date,Disturbance_time,B(IMF),Vector_B,Lat_angle_B,Long_angle_B,Bz(GSE),Bz(GSM),RMS_magnitude,RMS_field_vector,RMS_BZ_GSE,Plasma_Temp,Proton_Density,Plasma_speed,Alpha/proton,sigma-T,sigma-n,sigma-V,sigma-ratio,flow_pressure,E_field,Plasma_beta,Kp_index,Ap_index
2001/09/23,20:30:05,-102.5,,,,,,,,,,,,,,,,,,,,,,,,
2001/09/24,10:30:59,-102.5,,,,,,,,,,,,,,,,,,,,,,,,
2001/09/28,08:54:34,-165,03/10/2001,14:00:00,20.4,20.3,-10.8,74.9,-3.8,-12.5,0.7,2.4,2,50599,3.7,520,9.999,17356,0.7,8,9.999,2,6.5,0.07,67,111
2001/10/01,05:30:05,-165,,,,,,,,,,,,,,,,,,,,,,,,
2001/10/05,10:30:27,-65,09/10/2001,15:00:00,9.1,8.7,17.5,178.2,2.6,2.2,0.2,2.7,1.9,111662,7.2,461,0.037,10886,0.7,4,0.004,2.93,-1.01,0.87,37,22
2001/10/09,11:30:05,-70,11/10/2001,19:00:00,23.7,19.5,-14.2,280.6,-4.8,0.2,2.4,11.9,10,492486,13.5,528,0.099,27351,1.1,14,0.025,8.77,-0.11,0.62,53,56
2001/10/19,01:27:17,-187.5,21/10/2001,21:00:00,26.1,22.3,30.2,74.2,11.2,7.5,2.9,13.1,9.7,144440,22.2,608,0.049,48994,19.6,13,0.034,16.39,-4.56,0.37,77,179
2001/10/19,16:50:05,-187.5,,,,,,,,,,,,,,,,,,,,,,,,
2001/10/20,02:26:05,-187.5,,,,,,,,,,,,,,,,,,,,,,,,
2001/10/22,15:06:05,-177.5,,,,,,,,,,,,,,,,,,,,,,,,
2001/10/25,15:26:05,-157.5,28/10/2001,11:00:00,11.3,11,-14.9,77.5,-2.8,-7.5,0.3,2.2,1.2,157964,9.9,475,0.065,18221,0.9,7,0.004,4.7,3.56,0.92,47,39
2001/11/01,22:30:05,-296.6666667,06/11/2001,06:00:00,32.1,27.2,-30,223.3,-13.6,-6.2,7,17.5,10,9999999,999.9,9999,9.999,9999999,999.9,9999,9.999,99.99,999.99,999.99,70,132
2001/11/03,19:20:05,-296.6666667,,,,,,,,,,,,,,,,,,,,,,,,
2001/11/04,16:35:06,-296.6666667,,,,,,,,,,,,,,,,,,,,,,,,
2001/11/17,05:30:06,-47.5,19/11/2001,15:00:00,6.8,5.4,-48.5,125.5,-4.1,-4.7,0.1,3.8,2.4,91878,5.3,417,0.058,5102,0.4,8,0.008,1.9,1.96,1.05,33,18
2001/11/18,21:30:08,-47.5,,,,,,,,,,,,,,,,,,,,,,,,
2001/11/21,14:06:05,-219.7590361,24/11/2001,16:00:00,15.5,13.2,19.7,24.3,4.5,3.4,2.2,8.3,4.3,223387,1.4,918,0.036,235088,0.5,37,0.008,2.25,-3.12,0.09,73,154
2001/11/22,20:30:33,-219.7590361,,,,,,,,,,,,,,,,,,,,,,,,
2001/11/22,23:30:05,-219.7590361,,,,,,,,,,,,,,,,,,,,,,,,
2001/11/28,17:30:06,-32.5,05/12/2001,03:00:00,8.2,7.9,-16.9,266.7,-2.3,-1.8,0.3,1.7,1.6,116949,6.3,459,9.999,15686,0.4,4,9.999,2.65,0.83,0.96,27,12
2001/12/13,14:54:06,-40,17/12/2001,21:00:00,7,5.3,22.9,133.2,2.1,2.6,0.2,4.2,3.9,215665,2.9,459,0.066,19697,0.4,6,0.006,1.29,-1.19,0.85,17,6
2001/12/14,09:06:06,-40,,,,,,,,,,,,,,,,,,,,,,,,
2001/12/25,11:30:05,-57.5,30/12/2001,05:00:00,16.1,15.7,-3.9,76,-1.1,-0.7,0.8,3.1,2.5,52798,14.5,382,0.046,3769,4.5,4,0.005,4.18,0.27,0.42,47,39
2001/12/28,20:30:05,-57.5,,,,,,,,,,,,,,,,,,,,,,,,
2001/12/30,23:30:05,-57.5,,,,,,,,,,,,,,,,,,,,,,,,
2002/01/01,18:30:33,-47.5,01/01/2002,08:00:00,7.8,7.3,2.3,295.6,0.3,0.9,0.1,1.9,1.3,68299,4.4,468,0.03,5169,0.6,9,0.005,1.8,-0.42,0.59,23,9
